"experiment","unit","unit_number","id_1","id_2","id_3","time","date","salinity","pHat25","fileName","unit_ID","alk","insituTemp","pHinsitu","dateString","treatName","treatpH","treatTemp","treatOther","dic"
"Krill","Chamber",10,"Jar","ColtPlastics_insert","J2H","0.63958333333333328",2021-08-30,30.25,7.32669181009211,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort3.xlsx","Chamber_10",2045.44225,NA,NA,"2021-08-30","",NA,NA,"",2054.82428350589
"Krill","Chamber",9,"Jar","ColtPlastics_insert","J2B","0.59930555555555554",2021-08-30,29.05,7.5206804738034,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort3.xlsx","Chamber_9",1985.02825,NA,NA,"2021-08-30","",NA,NA,"",1942.87209829349
"Krill","Chamber",9,"Jar","ColtPlastics_insert","J2B","0.6",2021-08-30,29.05,7.5318174646974,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort3.xlsx","Chamber_9",1985.02825,NA,NA,"2021-08-30","",NA,NA,"",1939.73090662669
"Krill","Chamber",9,"Jar","PP_rubberSilicone","J3A","0.64861111111111114",2021-08-30,30.25,7.52090738307248,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort4.xlsx","Chamber_9",2045.44225,NA,NA,"2021-08-30","",NA,NA,"",1998.87522123342
"Krill","Chamber",9,"Jar","PP_rubberSilicone","J3A","0.64861111111111114",2021-08-30,30.25,7.49253096044746,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort4.xlsx","Chamber_9",2045.44225,NA,NA,"2021-08-30","",NA,NA,"",2007.15133468517
"Krill","Chamber",10,"Jar","CWP_no_insert","JD1","0.59930555555555554",2021-08-30,31.06,7.24855688010486,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort4.xlsx","Chamber_10",2086.2217,NA,NA,"2021-08-30","",NA,NA,"",2117.70356453726
"Krill","Chamber",10,"Jar","CWP_no_insert","JD1","0.6",2021-08-30,31.06,7.26167863446584,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort4.xlsx","Chamber_10",2086.2217,NA,NA,"2021-08-30","",NA,NA,"",2113.65498955275
"Krill","Chamber",10,"Jar","CWP_rubberSilicone","JA1","0.65625",2021-08-30,31.06,7.25680222117247,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort4.xlsx","Chamber_10",2086.2217,NA,NA,"2021-08-30","",NA,NA,"",2115.15538501651
"Krill","Chamber",10,"Jar","CWP_rubberSilicone","JA1","0.65625",2021-08-30,31.06,7.23160335814502,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort4.xlsx","Chamber_10",2086.2217,NA,NA,"2021-08-30","",NA,NA,"",2122.99047825596
"Krill","Chamber",9,"Jar","CWP_no_insert","JC1","0.69166666666666676",2021-08-30,29.99,7.52383408732958,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_9",2032.35255,NA,NA,"2021-08-30","",NA,NA,"",1985.88658679185
"Krill","Chamber",9,"Jar","CWP_no_insert","JC1","0.69166666666666676",2021-08-30,29.99,7.5332288026976,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_9",2032.35255,NA,NA,"2021-08-30","",NA,NA,"",1983.14537341076
"Krill","Chamber",9,"Jar","PP_rubberSilicone","J3C","0.69513888888888886",2021-08-30,29.2,7.49815655366519,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_9",1992.58,NA,NA,"2021-08-30","",NA,NA,"",1956.23071116921
"Krill","Chamber",9,"Jar","PP_rubberSilicone","J3C","0.69513888888888886",2021-08-30,29.2,7.52228691290142,"SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort5.xlsx","Chamber_9",1992.58,NA,NA,"2021-08-30","",NA,NA,"",1949.43324282267
