BottleID,JarID,unit_number,id_2,id_3,treatment,Manufacturer,BottleTime,BottleDate,Day00_pHiinsitu,Day03_pHinsitu,delta_pH,HydroIons_Day03,HydroIons_Day00,delta_Hydro_Ions,percent_Change.to.Overall,H_percentChg
CH10_01,J2F,10,ColtPlastics_insert,J2F,HiCO2,CP,1347,8/27/21,7.46975845,7.439664371,0.030094079,36.33587551,33.90326701,2.432608505,7.175144815,7.175144815
CH10_01,J2G,10,ColtPlastics_insert,J2G,HiCO2,CP,1349,8/27/21,7.46975845,7.438089898,0.031668552,36.46784515,33.90326701,2.564578138,7.564398255,7.564398255
CH10_01,J2G,10,ColtPlastics_insert,J2G,HiCO2,CP,1349,8/27/21,7.46975845,7.434246265,0.035512185,36.79202867,33.90326701,2.888761661,8.520599683,8.520599683
CH10_02,J2H,10,ColtPlastics_insert,J2H,HiCO2,CP,1507,8/27/21,7.48870895,7.512451528,-0.023742578,30.72900315,32.4557052,-1.72670205,-5.320180349,5.320180349
CH10_02,J3L,10,PP_no_insert,J3L,HiCO2,PP,1513,8/27/21,7.48870895,7.509840447,-0.021131497,30.91430967,32.4557052,-1.541395531,-4.749228282,4.749228282
CH10_02,J3L,10,PP_no_insert,J3L,HiCO2,PP,1513,8/27/21,7.48870895,7.520661186,-0.031952236,30.15357532,32.4557052,-2.302129882,-7.093143925,7.093143925
CH10_02,J3H,10,PP_rubberSilicone,J3H,HiCO2,PP,1508,8/27/21,7.48870895,7.499452928,-0.010743978,31.66263628,32.4557052,-0.793068928,-2.443542431,2.443542431
CH10_02,J3H,10,PP_rubberSilicone,J3H,HiCO2,PP,1508,8/27/21,7.48870895,7.508215438,-0.019506488,31.03019909,32.4557052,-1.425506116,-4.392158811,4.392158811
CH10_02,J2H,10,ColtPlastics_insert,J2H,HiCO2,CP,1507,8/27/21,7.48870895,7.516008794,-0.027299844,30.47833274,32.4557052,-1.977372467,-6.092526583,6.092526583
CH10_02,J3K,10,PP_no_insert,J3K,HiCO2,PP,1511,8/27/21,7.48870895,7.528745725,-0.040036775,29.5974486,32.4557052,-2.858256605,-8.806638423,8.806638423
CH10_02,J3K,10,PP_no_insert,J3K,HiCO2,PP,1511,8/27/21,7.48870895,7.494286,-0.00557705,32.04158565,32.4557052,-0.414119552,-1.275953025,1.275953025
CH10_03,J2I,10,ColtPlastics_insert,J2I,HiCO2,CP,1553,8/27/21,7.51600879,7.519707405,-0.003698615,30.21987023,30.47833302,-0.258462791,-0.848021416,0.848021416
CH10_03,J3J,10,PP_rubberSilicone,J3J,HiCO2,PP,1552,8/27/21,7.51600879,7.52027675,-0.00426796,30.18027898,30.47833302,-0.298054036,-0.977921055,0.977921055
CH10_03,J2I,10,ColtPlastics_insert,J2I,HiCO2,CP,1553,8/27/21,7.51600879,7.52027675,-0.00426796,30.18027898,30.47833302,-0.298054036,-0.977921055,0.977921055
CH10_03,J3J,10,PP_rubberSilicone,J3J,HiCO2,PP,1552,8/27/21,7.51600879,7.533984842,-0.017976052,29.2425444,30.47833302,-1.235788616,-4.054646346,4.054646346
CH10_03,J3I,10,PP_rubberSilicone,J3I,HiCO2,PP,1550,8/27/21,7.51600879,7.512363487,0.003645303,30.73523323,30.47833302,0.256900209,0.842894554,0.842894554
CH10_03,J3I,10,PP_rubberSilicone,J3I,HiCO2,PP,1550,8/27/21,7.51600879,7.517247598,-0.001238808,30.39151864,30.47833302,-0.086814375,-0.284839643,0.284839643
CH10_03a,J3M,10,PP_no_insert,J3M,HiCO2,PP,1553,8/27/21,7.53954142,7.50466566,0.03487576,31.28486894,28.87078417,2.414084778,8.361687596,8.361687596
CH10_03a,J3M,10,PP_no_insert,J3M,HiCO2,PP,1553,8/27/21,7.53954142,7.505776166,0.033765254,31.20497464,28.87078417,2.334190477,8.084956971,8.084956971
CH10_04,J2J,10,ColtPlastics_insert,J2J,HiCO2,CP,1644,8/27/21,7.58645432,7.481232933,0.105221387,33.01923955,25.91466983,7.104569719,27.41524305,27.41524305
CH10_04,J2J,10,ColtPlastics_insert,J2J,HiCO2,CP,1644,8/27/21,7.58645432,7.485529836,0.100924484,32.69415852,25.91466983,6.779488691,26.16081445,26.16081445
CH10_04,J3N,10,PP_no_insert,J3N,HiCO2,PP,1645,8/27/21,7.58645432,7.4728082,0.11364612,33.66602178,25.91466983,7.751351947,29.91105809,29.91105809
