"","Treatment","sd","mean","median","IQR","n","se","ci"
"1","HiCO2",0.060870839110166,7.32727853847059,7.3315872705,0.0461838714999994,34,0.0104392627838308,0.0204609550563083
"2","LoCO2",0.0695395193163494,8.05706063525,8.0575250655,0.114354677249999,4,0.0347697596581747,0.0681487289300224
"3","MidCO2",0.0302040569316226,7.542345328125,7.5352669125,0.0334718690000004,32,0.00533937336892372,0.0104651718030905
"4",NA,NA,NA,NA,NA,19,NA,NA
