"BottleID","JarID","unit","unit_number","id_1","id_2","id_3","date","salinity","unit_ID","Day03_pHinsitu","treatment","SEQ","Manufacturer","CHMBR","BottleTime","BottleDate","insert","Manufacturer_1","SourceSalinity","BubbleEndSalinity","Treatment.y","Day00_pHiinsitu","delta_pH","HydroIons_Day03","HydroIons_Day00","delta_HydroIons"
"CH09_03","J3D","Chamber",9,"Jar","PP_rubberSilicone","J3D",2021-08-30,29.05,"Chamber_9",7.710682055,"MidCO2",18,"PP","CH09",1546,"8/27/21","rubberSi","PP_rubberSilicone",28.9,29.54,"MidCO2",7.80660337,0.095921315,19.4678479227203,15.6097745267296,3.85807339599067
"CH09_04","J2D","Chamber",9,"Jar","ColtPlastics_insert","J2D",2021-08-30,30.01,"Chamber_9",7.763212546,"MidCO2",8,"CP","CH09",1651,"8/27/21","COLT","ColtPlastics_insert",30.01,29.74,"MidCO2",7.82606788,0.062855334,17.2499346451366,14.9256110482802,2.32432359685646
"CH09_04","J3E","Chamber",9,"Jar","PP_no_insert","J3E",2021-08-30,30.01,"Chamber_9",7.734893431,"MidCO2",19,"PP","CH09",1654,"8/27/21","no_insert","PP_no_insert",30.01,29.74,"MidCO2",7.82606788,0.0911744490000004,18.4122375324104,14.9256110482802,3.48662648413029
"CH09_04","J3E","Chamber",9,"Jar","PP_no_insert","J3E",2021-08-30,30.01,"Chamber_9",7.751054176,"MidCO2",19,"PP","CH09",1654,"8/27/21","no_insert","PP_no_insert",30.01,29.74,"MidCO2",7.82606788,0.0750137039999998,17.7396817369326,14.9256110482802,2.81407068865241
"CH09_04","J3F","Chamber",9,"Jar","PP_no_insert","J3F",2021-08-30,29.74,"Chamber_9",7.767380217,"MidCO2",20,"PP","CH09",1648,"8/27/21","no_insert","PP_no_insert",30.01,29.74,"MidCO2",7.82606788,0.0586876629999997,17.0851888261395,14.9256110482802,2.15957777785934
"CH09_04","J3F","Chamber",9,"Jar","PP_no_insert","J3F",2021-08-30,29.74,"Chamber_9",7.724775539,"MidCO2",20,"PP","CH09",1648,"8/27/21","no_insert","PP_no_insert",30.01,29.74,"MidCO2",7.82606788,0.101292341,18.8462288735347,14.9256110482802,3.92061782525458
"CH09_04","J3G","Chamber",9,"Jar","PP_rubberSilicone","J3G",2021-08-30,30.01,"Chamber_9",7.771151569,"MidCO2",21,"PP","CH09",1659,"8/27/21","rubberSi","PP_rubberSilicone",30.01,29.74,"MidCO2",7.82606788,0.0549163110000004,16.9374657884831,14.9256110482802,2.01185474020294
"CH09_04","J2D","Chamber",9,"Jar","ColtPlastics_insert","J2D",2021-08-30,30.01,"Chamber_9",7.746445345,"MidCO2",8,"CP","CH09",1651,"8/27/21","COLT","ColtPlastics_insert",30.01,29.74,"MidCO2",7.82606788,0.0796225350000004,17.9289416993436,14.9256110482802,3.00333065106346
"CH09_04","J3G","Chamber",9,"Jar","PP_rubberSilicone","J3G",2021-08-30,30.01,"Chamber_9",7.766630962,"MidCO2",21,"PP","CH09",1659,"8/27/21","rubberSi","PP_rubberSilicone",30.01,29.74,"MidCO2",7.82606788,0.0594369180000003,17.1146900343607,14.9256110482802,2.1890789860806
"CH10_01","JD1","Chamber",10,"Jar","CWP_no_insert","JD1",2021-08-30,31.06,"Chamber_10",7.427372156,"HiCO2",4,"CWP","CH10",1345,"8/27/21","no_insert","CWP_no_insert",29.99,31.06,"HiCO2",7.46975845,0.0423862939999999,37.3790142423788,33.9032670096874,3.47574723269149
