SEQ,BottleID,JarID,unit_number,container_type,id_2,date,salinity,unit_ID,alk,Day03_pHinsitu,dateString,dic,Manufacturer,BottleTime,BottleDate,Treatment,Day00_pHinsitu,SourceSalinity,BubbleEndSalinity,Bottle_pHinsitu,delta_pH
17,CH09_02,J3C,9,Jar,PP_rubberSilicone,8/30/21,29.2,Chamber_9,1992.58,7.699865656,8/30/21,1956.230711,PP,1503,8/27/21,MidCO2,7.815938996,29.2,30.25,7.815938996,0.11607334
17,CH09_02,J3C,9,Jar,PP_rubberSilicone,8/30/21,29.2,Chamber_9,1992.58,7.72617931,8/30/21,1949.433243,PP,1503,8/27/21,MidCO2,7.815938996,29.2,30.25,7.815938996,0.089759686
18,CH09_03,J3D,9,Jar,PP_rubberSilicone,8/30/21,29.05,Chamber_9,1985.02825,7.710682055,8/30/21,1946.384794,PP,1546,8/27/21,MidCO2,7.46975845,28.9,29.54,7.806603371,-0.240923605
18,CH09_03,J3D,9,Jar,PP_rubberSilicone,8/30/21,29.05,Chamber_9,1985.02825,7.694050688,8/30/21,1950.638467,PP,1546,8/27/21,MidCO2,7.46975845,28.9,29.54,7.806603371,-0.224292238
19,CH09_04,J3E,9,Jar,PP_no_insert,8/30/21,30.01,Chamber_9,2033.35945,7.734893431,8/30/21,1985.081667,PP,1654,8/27/21,MidCO2,7.539541418,30.01,29.74,7.826067877,-0.195352013
19,CH09_04,J3E,9,Jar,PP_no_insert,8/30/21,30.01,Chamber_9,2033.35945,7.751054176,8/30/21,1980.717642,PP,1654,8/27/21,MidCO2,7.539541418,30.01,29.74,7.826067877,-0.211512758
20,CH09_04,J3F,9,Jar,PP_no_insert,8/30/21,29.74,Chamber_9,2019.7663,7.767380217,8/30/21,1963.716394,PP,1648,8/27/21,MidCO2,7.539541418,30.01,29.74,7.826067877,-0.227838799
20,CH09_04,J3F,9,Jar,PP_no_insert,8/30/21,29.74,Chamber_9,2019.7663,7.724775539,8/30/21,1975.134395,PP,1648,8/27/21,MidCO2,7.539541418,30.01,29.74,7.826067877,-0.185234121
21,CH09_04,J3G,9,Jar,PP_rubberSilicone,8/30/21,30.01,Chamber_9,2033.35945,7.766630962,8/30/21,1976.470073,PP,1659,8/27/21,MidCO2,7.539541418,30.01,29.74,7.826067877,-0.227089544
21,CH09_04,J3G,9,Jar,PP_rubberSilicone,8/30/21,30.01,Chamber_9,2033.35945,7.771151569,8/30/21,1975.229222,PP,1659,8/27/21,MidCO2,7.539541418,30.01,29.74,7.826067877,-0.231610151
22,CH10_02,J3H,10,Jar,PP_rubberSilicone,8/30/21,30.25,Chamber_10,2045.44225,7.508215438,8/30/21,2055.945528,PP,1508,8/27/21,HiCO2,7.807803577,29.2,30.25,7.488708953,0.299588139
22,CH10_02,J3H,10,Jar,PP_rubberSilicone,8/30/21,30.25,Chamber_10,2045.44225,7.499452928,8/30/21,2058.271018,PP,1508,8/27/21,HiCO2,7.807803577,29.2,30.25,7.488708953,0.308350649
25,CH10_02,J3K,10,Jar,PP_no_insert,8/30/21,29.2,Chamber_10,1992.58,7.528745725,8/30/21,1999.563248,PP,1511,8/27/21,HiCO2,7.807803577,29.2,30.25,7.488708953,0.279057852
26,CH10_02,J3L,10,Jar,PP_no_insert,8/30/21,29.2,Chamber_10,1992.58,7.509840447,8/30/21,2004.402464,PP,1513,8/27/21,HiCO2,7.807803577,29.2,30.25,7.488708953,0.29796313
26,CH10_02,J3L,10,Jar,PP_no_insert,8/30/21,29.2,Chamber_10,1992.58,7.520661186,8/30/21,2001.628361,PP,1513,8/27/21,HiCO2,7.807803577,29.2,30.25,7.488708953,0.287142391
